file,class,confidence,x,y,w,h
IMG_3877.jpg,bowl,0.6709074378013611,138,1841,4069,3559
IMG_3877.jpg,orange,0.9611372947692871,1764,899,971,1165
IMG_3877.jpg,orange,0.9601871371269226,641,3339,937,1089
IMG_3877.jpg,orange,0.9493140578269958,1640,3582,754,1144
IMG_3877.jpg,orange,0.9246851205825806,2418,2999,815,1180
IMG_3877.jpg,orange,0.9232040047645569,3052,2387,888,1005
IMG_3877.jpg,orange,0.7827829718589783,2240,1731,863,1302
IMG_3877.jpg,orange,0.748586893081665,663,2381,841,1080
IMG_3877.jpg,orange,0.7317546606063843,1247,1815,978,863
IMG_3877.jpg,orange,0.6812242865562439,1590,2538,815,1189
IMG_3877.jpg,orange,0.45987433195114136,2991,1395,796,1015
IMG_3877.jpg,diningtable,0.2384224385023117,56,205,4183,4716
